0.326758	-1195	132.1624
0.326417	-1045.7	132.1292
0.326075	-1022.4	132.0961
0.325734	-1059.1	132.0629
0.325392	-1132.8	132.0298
0.325051	-952.46	131.9967
0.324709	-1107.2	131.9636
0.324368	-1384.9	131.9305
0.324026	-1390.6	131.8975
0.323685	-1444.3	131.8645
0.323343	-1299	131.8315
0.323002	-1217.7	131.7985
0.32266	-1196.4	131.7655
0.322319	-1346	131.7326
0.321977	-1138.7	131.6997
0.321636	-1157.4	131.6668
0.321294	-949.15	131.6339
0.320953	-1063.8	131.6011
0.320611	-1217.5	131.5683
0.320269	-903.24	131.5355
0.319928	-1061.9	131.5027
0.319586	-960.64	131.4699
0.319245	-1192.3	131.4372
0.318903	-1302	131.4045
0.301827	-996.96	129.7973
0.301144	-1014.4	129.7342
0.300461	-832.76	129.6712
0.299778	-941.15	129.6082
0.299095	-915.55	129.5454
0.298412	-725.95	129.4826
0.297729	-1026.3	129.42
0.297046	-895.74	129.3574
0.296363	-981.14	129.2949
0.29568	-1008.5	129.2326
0.294997	-958.93	129.1703
0.294314	-1004.3	129.1081
0.293631	-1026.7	129.046
0.292948	-674.12	128.984
0.292264	-874.52	128.9221
0.291581	-697.92	128.8602
0.290898	-965.31	128.7985
0.290215	-596.71	128.7369
0.289532	-549.11	128.6753
0.288849	-577.51	128.6139
0.288166	-547.9	128.5525
0.287483	-336.3	128.4913
0.2868	-481.7	128.4301
0.286117	-336.09	128.369
0.285434	-433.49	128.3081
0.284751	-323.89	128.2472
0.284068	-238.29	128.1864
0.283385	-105.68	128.1257
0.282702	-251.08	128.0651
0.282019	-275.48	128.0046
0.281336	-27.874	127.9442
0.280653	-135.27	127.8839
0.27997	119.33	127.8237
0.279287	70.935	127.7635
0.278603	51.538	127.7035
0.27792	231.14	127.6436
0.277237	45.744	127.5838
0.276554	425.35	127.524
0.275871	500.95	127.4644
0.275188	537.55	127.4048
0.274505	543.16	127.3454
0.273822	751.76	127.286
0.273139	535.36	127.2268
0.272456	694.96	127.1676
0.271773	685.57	127.1086
0.27109	856.17	127.0496
0.270407	781.77	126.9907
0.269724	823.38	126.932
0.269041	1019	126.8733
0.268358	1030.6	126.8147
0.267675	1092.2	126.7563
0.266992	1155.8	126.6979
0.266309	1059.4	126.6396
0.265626	1316	126.5814
0.264942	1336.6	126.5233
0.264259	1423.2	126.4654
0.263576	1429.8	126.4075
0.262893	1585.4	126.3497
0.26221	1515	126.292
0.261527	1431.6	126.2344
0.260844	1514.2	126.1769
0.260161	1751.8	126.1195
0.259478	1743.4	126.0623
0.258795	1746	126.0051
0.258112	1959.6	125.948
0.257429	2073.2	125.891
0.256746	2071.8	125.8341
0.256063	1959.4	125.7773
0.25538	2003	125.7206
0.254697	2211.6	125.664
0.254014	2415.2	125.6076
0.253331	2247.8	125.5512
0.252648	2211.4	125.4949
0.251965	2486.1	125.4387
0.251282	2530.7	125.3826
0.250598	2166.3	125.3266
0.249915	2244.9	125.2708
0.249232	2235.5	125.215
0.248549	2396.1	125.1593
0.247866	2439.7	125.1037
0.247183	2485.3	125.0482
0.2465	2665.9	124.9929
0.245817	2801.5	124.9376
0.245134	2815.1	124.8824
0.244451	2546.7	124.8274
0.243768	2513.3	124.7724
0.243085	2742.9	124.7176
0.242402	2859.5	124.6628
0.241719	3045.1	124.6082
0.241036	2857.7	124.5536
0.240353	3044.3	124.4992
0.23967	3344.9	124.4448
0.238987	3154.5	124.3906
0.238304	3118.1	124.3364
0.237621	2968.7	124.2824
0.236937	2891.3	124.2285
0.236254	2973.9	124.1747
0.235571	2953.5	124.121
0.234888	3206.1	124.0673
0.234205	2946.7	124.0138
0.233522	3150.3	123.9604
0.232839	3162.9	123.9071
0.232156	3182.5	123.8539
0.231473	3209.1	123.8008
0.23079	3362.7	123.7479
0.230107	3269.3	123.695
0.229424	3331.9	123.6422
0.228741	3283.6	123.5895
0.228058	3238.2	123.537
0.227375	3318.8	123.4845
0.226692	3380.4	123.4322
0.226009	3409	123.3799
0.225326	3354.6	123.3278
0.224643	3486.2	123.2758
0.22396	3291.8	123.2238
0.223276	3441.4	123.172
0.222593	3700	123.1203
0.22191	3648.6	123.0687
0.221227	3409.2	123.0172
0.220544	3597.8	122.9658
0.219861	3495.4	122.9145
0.219178	3658	122.8634
0.218495	3700.6	122.8123
0.217812	3416.2	122.7613
0.217129	3639.8	122.7105
0.216446	3559.4	122.6598
0.215763	3768	122.6091
0.21508	3738.6	122.5586
0.214397	3789.2	122.5082
0.213714	3694.8	122.4579
0.213031	3706.4	122.4077
0.212348	3856	122.3576
0.211665	3535.6	122.3076
0.210982	3618.2	122.2577
0.210299	3630.8	122.208
0.209616	3461.4	122.1583
0.208932	3791	122.1088
0.208249	3536.6	122.0593
0.207566	3749.2	122.01
0.206883	3699.8	121.9608
0.2062	3816.4	121.9117
0.205517	3898.1	121.8627
0.204834	3993.7	121.8138
0.204151	3775.3	121.765
0.203468	3766.9	121.7164
0.202785	3633.5	121.6678
0.202102	4020.1	121.6194
0.201419	4007.7	121.5711
0.200736	4044.3	121.5228
0.200053	4244.9	121.4747
0.19937	4382.5	121.4267
0.198687	4249.1	121.3788
0.198004	4266.7	121.3311
0.197321	4336.3	121.2834
0.196638	4372.9	121.2359
0.195955	4543.5	121.1884
0.195271	4260.1	121.1411
0.194588	3965.7	121.0939
0.193905	4413.3	121.0468
0.193222	4020.9	120.9998
0.192539	4375.5	120.9529
0.191856	4243.1	120.9062
0.191173	4155.7	120.8595
0.19049	4179.3	120.813
0.189807	4186.9	120.7666
0.189124	4274.5	120.7203
0.188441	4290.1	120.6741
0.187758	4323.7	120.628
0.187075	4374.3	120.582
0.186392	4172.9	120.5362
0.185709	4196.5	120.4904
0.185026	3722.1	120.4448
0.184343	3640.7	120.3993
0.18366	3705.3	120.3539
0.182977	3688.9	120.3086
0.182294	3634.6	120.2634
0.18161	3843.2	120.2184
0.180927	3714.8	120.1734
0.180244	3399.4	120.1286
0.179561	3664	120.0839
0.178878	3732.6	120.0393
0.178195	3594.2	119.9948
0.177512	3737.8	119.9505
0.176829	3661.4	119.9062
0.176146	3671	119.8621
0.175463	3586.6	119.8181
0.17478	3513.2	119.7742
0.174097	3671.8	119.7304
0.173414	3660.4	119.6868
0.172731	3381	119.6432
0.172048	3423.6	119.5998
0.171365	3794.2	119.5565
0.170682	3431.8	119.5133
0.169999	3576.4	119.4702
0.169316	3459	119.4272
0.168633	3717.6	119.3844
0.16795	3392.2	119.3416
0.167266	3347.8	119.299
0.166583	3410.4	119.2565
0.1659	3384	119.2142
0.165217	3350.6	119.1719
0.164534	3172.2	119.1298
0.163851	3556.8	119.0877
0.163168	3352.4	119.0458
0.162485	3312	119.004
0.161802	3132.6	118.9624
0.161119	2995.2	118.9208
0.160436	3148.8	118.8794
0.159753	3156.4	118.8381
0.15907	2845.1	118.7969
0.158387	3027.7	118.7558
0.157704	2944.3	118.7149
0.157021	2906.9	118.674
0.156338	3022.5	118.6333
0.155655	2759.1	118.5927
0.154972	2888.7	118.5523
0.154289	2668.3	118.5119
0.153605	2531.9	118.4717
0.152922	2611.5	118.4316
0.152239	2569.1	118.3916
0.151556	2422.7	118.3517
0.150873	2365.3	118.3119
0.15019	2592.9	118.2723
0.149507	2262.5	118.2328
0.148824	2341.1	118.1934
0.148141	2321.7	118.1541
0.147458	2403.3	118.115
0.146775	2261.9	118.0759
0.146092	2006.5	118.037
0.145409	2148.1	117.9983
0.144726	2179.7	117.9596
0.144043	2093.3	117.9211
0.14336	1805.9	117.8826
0.142677	1635.5	117.8443
0.141994	1937.1	117.8062
0.141311	2221.7	117.7681
0.140628	2146.3	117.7302
0.139944	1944.9	117.6924
0.139261	1805.5	117.6547
0.138578	2213.1	117.6171
0.137895	1715.7	117.5797
0.137212	1683.3	117.5423
0.136529	1751.9	117.5052
0.135846	1735.6	117.4681
0.135163	1731.2	117.4311
0.13448	1287.8	117.3943
0.133797	1268.4	117.3576
0.133114	1175	117.321
0.132431	1303.6	117.2846
0.131748	1040.2	117.2482
0.131065	1099.8	117.212
0.130382	1284.4	117.1759
0.129699	1123	117.14
0.129016	924.58	117.1042
0.128333	825.18	117.0684
0.12765	622.79	117.0329
0.126967	662.39	116.9974
0.126284	656.99	116.9621
0.1256	180.6	116.9268
0.124917	-48.802	116.8918
0.124234	-84.199	116.8568
0.123551	-106.6	116.822
0.122868	-294.99	116.7872
0.122185	-319.39	116.7527
0.121502	-613.79	116.7182
0.120819	-605.18	116.6839
0.120136	-549.58	116.6497
0.119453	-417.98	116.6156
0.11877	-415.38	116.5816
