#Voltage (mA) Time (t) Counts 
2,7	1000000	9074
2,5	1000000	9503
2,3	1000000	9476
2,1	1000000	9538
1,9	1000000	9476
1,7	1000000	9451
1,5	1000000	9533
1,3	1000000	9745
1,25	1000000	9786
1,249	1000000	9782
1,248	1000000	9734
1,247	1000000	9855
1,246	1000000	9807
1,245	1000000	9536
1,244	1000000	9497
1,243	1000000	9767
1,242	1000000	9726
1,241	1000000	9626
1,24	1000000	10002
1,239	1000001	9943
1,238	1000000	9779
1,237	1000000	9563
1,236	1000000	9848
1,235	1000000	9504
1,234	1000000	9666
1,233	1000000	9750
1,232	1000000	9783
1,231	1000000	9513
1,23	1000000	9784
1,229	1000000	9737
1,228	1000000	9714
1,227	1000000	9706
1,226	1000000	9880
1,225	1000000	9961
1,224	1000000	9879
1,223	1000000	9819
1,222	1000000	10014
1,221	1000000	9745
1,22	1000000	9769
1,219	1000000	9688
1,218	1000000	9772
1,217	1000000	9872
1,216	1000000	9850
1,215	1000000	9607
1,214	1000000	9703
1,213	1000000	9957
1,212	1000000	9839
1,211	1000000	9593
1,21	1000000	9878
1,209	1000000	9795
1,208	1000000	9394
1,207	1000000	9526
1,206	1000000	9472
1,205	1000000	9447
1,204	1000000	9515
1,203	1000000	9460
1,202	1000000	9596
1,201	1000000	9545
1,2	1000000	9612
1,199	1000000	9482
1,198	1000000	9388
1,197	1000000	9532
1,196	1000000	9529
1,195	1000000	9519
1,194	1000000	9483
1,193	1000000	9618
1,192	1000000	9400
1,191	1000000	9501
1,19	1000000	9366
1,189	1000001	9574
1,188	1000000	9434
1,187	1000000	9494
1,186	1000000	9613
1,185	1000000	9651
1,184	1000000	9381
1,183	1000000	9574
1,182	1000000	9615
1,181	1000000	9366
1,18	1000000	9513
1,179	1000000	9639
1,178	1000003	9441
1,177	1000000	9698
1,176	1000000	9577
1,175	1000000	9692
1,174	1000000	9789
1,173	1000000	9892
1,172	1000000	10037
1,171	1000000	9811
1,17	1000000	9987
1,169	1000000	10080
1,168	1000000	10102
1,167	1000000	9915
1,166	1000000	10014
1,165	1000000	10023
1,164	1000000	10028
1,163	1000000	10022
1,162	1000000	10072
1,161	1000000	9968
1,16	1000000	10109
1,159	1000000	10154
1,158	1000000	9941
1,157	1000000	10156
1,156	1000000	10107
1,155	1000000	10268
1,154	1000000	10571
1,153	1000000	10645
1,152	1000000	11202
1,151	1000000	11416
1,15	1000000	12195
1,149	1000000	13229
1,148	1000000	13168
1,147	1000000	14485
1,146	1000000	15091
1,145	1000000	15994
1,144	1000000	16912
1,143	1000000	16634
1,142	1000000	17000
1,141	1000000	16914
1,14	1000000	16765
